Plot,Total_Cover,Scientific_name,Species_name,Sp_Cover,Flower,Fruit,Seedling_Only,Canopy_Cover,Intercept_Rank,Collected,Unkn_No.(MCG001),Comments,Date,Botanist,Assistant,Clean up Notes
2,"""96-100""",Oxalis stricta,common yellow oxalis,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Pilea fontana,lesser clearweed,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Rhus glabra,smooth sumac,"""<1""",NA,NA,Y,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Rubus allegheniensis,Allegheny blackberry,""">95""",NA,NA,NA,NA,1,,,,9/1/21,Isaac,,
2,"""96-100""",Rubus idaeus,American red raspberry,"""26-50""",NA,NA,NA,NA,2,,,,9/1/21,Isaac,,
2,"""96-100""",Solidago canadensis,Canada goldenrod,"""1-5""",Y,NA,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Teucrium canadense,Canada germander,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
2,"""96-100""",Viola sp.,voilet sp.,"""6-25""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Amphicarpaea bracteata,American hogpeanut,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Athyrium filix-femina,common ladyfern,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Cirsium discolor,field thistle,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Cornus racemosa,gray dogwood,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Erigeron annuus,eastern daisy fleabane,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Frangula alnus,glossy buckthorn,"""6-25""",NA,NA,NA,NA,1,,,,9/1/21,Isaac,,
3,"""96-100""",Geum aleppicum,yellow avens,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Hackelia virginiana,beggarslice,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Lonicera X bella,Bell's honeysuckle,"""6-25""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Monarda fistulosa,wild bergamot,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Oenothera biennis,common evening primrose,"""1-5""",NA,NA,NA,NA,4,,,,9/1/21,Isaac,,
3,"""96-100""",Onoclea sensibilis,sensitive fern,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Oxalis stricta,common yellow oxalis,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Parthenocissus quinquefolia,Virginia creeper,"""1-5""",NA,NA,NA,NA,3,,,,9/1/21,Isaac,,
3,"""96-100""",Pedicularis canadensis,Canadian lousewort,"""6-25""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Rhus typhina,staghorn sumac,"""6-25""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Rubus allegheniensis,Allegheny blackberry,"""51-75""",NA,NA,NA,NA,2,,,,9/1/21,Isaac,,
3,"""96-100""",Symphyotrichum lateriflorum,calico aster,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Viola sp.,voilet sp.,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
3,"""96-100""",Zizia aurea,golden Alexanders,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Isaac,,
4,"""51-75""",Acer rubrum,red maple,"""<1""",NA,NA,Y,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Ageratina altissima,white snakeroot,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Ambrosia artemisiifolia,annual ragweed,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Amphicarpaea bracteata,American hogpeanut,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Andropogon gerardi,big bluestem,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Asclepias syriaca,common milkweed,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Desmodium canadense,showy ticktrefoil,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Digitaria ischaemum,smooth crabgrass,"""1-5""",NA,NA,NA,NA,2,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Echinochloa crus-galli,barnyardgrass,"""<1""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Epilobium coloratum,purpleleaf willowherb,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Erechtites hieraciifolius,American burnweed,"""1-5""",Y,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Eupatorium perfoliatum,common boneset,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Galium triflorum,fragrant bedstraw,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Geum canadense,white avens,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Hackelia virginiana,beggarslice,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Hypericum perforatum,common St. Johnswort,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Impatiens capensis,jewelweed,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Leersia oryzoides,rice cutgrass,"""6-25""",NA,Y,NA,NA,1,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Lycopus americanus,Water Horehound,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Melilotus albus,white sweet-clover,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Oxalis stricta,common yellow oxalis,"""1-5""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Parthenocissus quinquefolia,Virginia creeper,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Pilea fontana,lesser clearweed,"""<1""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Plantago major,common plantain,"""<1""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Poa pratensis,Kentucky bluegrass,"""<1""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Prunella vulgaris,common selfheal,"""1-5""",NA,Y,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Rubus occidentalis,black raspberry,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Rudbeckia hirta,blackeyed Susan,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Rudbeckia laciniata,cutleaf coneflower,"""1-5""",NA,NA,NA,NA,NA,,,Laciniatum,9/1/21,Mary-Claire,,
4,"""51-75""",Rudbeckia subtomentosa,sweet coneflower,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Solanum ptychanthum,black nightshade,"""1-5""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Solidago canadensis,Canada goldenrod,"""1-5""",Y,NA,NA,NA,NA,,,erosion blanket,9/1/21,Mary-Claire,,
4,"""51-75""",Solidago gigantea,giant goldenrod,"""26-50""",NA,NA,NA,NA,3,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Symphyotrichum lateriflorum,calico aster,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Taraxacum officinale,common dandelion,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Trifolium hybridum,alsike clover,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
4,"""51-75""",Viola sp.,voilet sp.,"""<1""",NA,NA,NA,NA,NA,,,,9/1/21,Mary-Claire,,
5,"""96-100""",Ageratina altissima,white snakeroot,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Celastrus orbiculatus,Oriental bittersweet,"""26-50""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Circaea canadensis,broadleaf enchanter's nightshade,"""1-5""",Y,NA,NA,NA,2,,,,7/6/21,Isaac,,
5,"""96-100""",Cirsium arvense,Canada thistle,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Cuscuta gronovii,scaldweed,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Erechtites hieraciifolius,American burnweed,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Gentiana andrewsii,closed bottle gentian,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Oxalis stricta,common yellow oxalis,"""51-75""",Y,NA,NA,NA,4,,,,7/6/21,Isaac,,
5,"""96-100""",Rhus glabra,smooth sumac,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Rubus occidentalis,black raspberry,"""6-25""",NA,NA,NA,NA,1,,,,7/6/21,Isaac,,
5,"""96-100""",Smilax herbacea,smooth carrionflower,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Solidago canadensis,Canada goldenrod,"""26-50""",NA,NA,NA,NA,3,,,,7/6/21,Isaac,,
5,"""96-100""",Solidago gigantea,giant goldenrod,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Symphyotrichum lateriflorum,calico aster,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
5,"""96-100""",Viola sp.,voilet sp.,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
6,"""96-100""",Agrostis gigantea,redtop,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Calystegia sepium,hedge false bindweed,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Celastrus orbiculatus,Oriental bittersweet,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Circaea canadensis,broadleaf enchanter's nightshade,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Cornus racemosa,gray dogwood,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Dichanthelium sp.,panicgrass,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Erechtites hieraciifolius,American burnweed,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Erigeron annuus,eastern daisy fleabane,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Euphorbia corollata,flowering spurge,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Helianthus grosseserratus,Saw-tooth Sunflower,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Onoclea sensibilis,sensitive fern,"""51-75""",NA,Y,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Oxalis dillenii,slender yellow woodsorrel,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Rhus typhina,staghorn sumac,"""6-25""",NA,NA,NA,NA,1,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Rubus allegheniensis,Allegheny blackberry,"""26-50""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Rudbeckia hirta,blackeyed Susan,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Solidago canadensis,Canada goldenrod,"""6-25""",NA,NA,NA,NA,2,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Solidago gigantea,giant goldenrod,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Symphyotrichum lateriflorum,calico aster,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Tradescantia ohiensis,bluejacket,"""1-5""",Y,Y,NA,NA,3,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Veronicastrum virginicum,Culver's root,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
6,"""96-100""",Viola sp.,voilet sp.,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
7,"""96-100""",Ageratina altissima,white snakeroot,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Amphicarpaea bracteata,American hogpeanut,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Asclepias syriaca,common milkweed,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Celastrus orbiculatus,Oriental bittersweet,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Circaea canadensis,broadleaf enchanter's nightshade,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Erechtites hieraciifolius,American burnweed,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Erigeron pulchellus,robin's plantain,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Helianthus grosseserratus,Saw-tooth Sunflower,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Monarda fistulosa,wild bergamot,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Oxalis stricta,common yellow oxalis,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Rhus glabra,smooth sumac,"""1-5""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Rubus occidentalis,black raspberry,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Smilax herbacea,smooth carrionflower,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Isaac,,
7,"""96-100""",Solidago canadensis,Canada goldenrod,"""76-95""",NA,NA,NA,NA,1,,,,7/6/21,Isaac,,
8,"""96-100""",Ageratina altissima,white snakeroot,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Asclepias syriaca,common milkweed,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Celastrus orbiculatus,Oriental bittersweet,"""6-25""",NA,NA,NA,NA,3,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Cirsium arvense,Canada thistle,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Erigeron annuus,eastern daisy fleabane,"""6-25""",Y,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Muhlenbergia mexicana,Mexican muhly,"""26-50""",NA,NA,NA,NA,2,,,"duo colored, clasping leaves",7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Oxalis stricta,common yellow oxalis,"""1-5""",Y,NA,NA,NA,4,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Persicaria hydropiperoides,swamp smartweed,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Pilea fontana,lesser clearweed,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Rhus glabra,smooth sumac,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Rubus allegheniensis,Allegheny blackberry,"""6-25""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Solidago canadensis,Canada goldenrod,"""6-25""",NA,NA,NA,NA,1,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Symphyotrichum lateriflorum,calico aster,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Teucrium canadense,Canada germander,"""<1""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Unknown grass,unknown grass,"""1-5""",NA,NA,NA,NA,NA,,,"yellowish floppy, hairy ligule 1ft H",7/6/21,Mary-Claire,Joe C.,
8,"""96-100""",Viola sp.,voilet sp.,"""1-5""",NA,NA,NA,NA,NA,,,,7/6/21,Mary-Claire,Joe C.,
9,"""1-25""",Andropogon gerardi,big bluestem,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Avena sativa,common oat,"""1-5""",NA,NA,NA,NA,1,,,,7/6/21,Isaac,,
9,"""1-25""",Helianthus grosseserratus,Saw-tooth Sunflower,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Monarda fistulosa,wild bergamot,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Plantago major,common plantain,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Populus tremuloides,quaking aspen,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Rudbeckia hirta,blackeyed Susan,"""<1""",NA,NA,Y,NA,NA,,,netting (edge),7/6/21,Isaac,,
9,"""1-25""",Solidago canadensis,Canada goldenrod,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Thalictrum dioicum,early meadow-rue,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
9,"""1-25""",Viola sp.,voilet sp.,"""<1""",NA,NA,Y,NA,NA,,,,7/6/21,Isaac,,
10,"""96-100""",Ageratina altissima,white snakeroot,"""6-25""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Andropogon gerardi,big bluestem,"""6-25""",NA,NA,NA,NA,2,,,,8/11/21,Isaac,,
10,"""96-100""",Carex sp.,sedge sp.,"""26-50""",NA,NA,NA,NA,NA,,,"Leaves eminate from reddish brown sheath near base, rhizominous, leaves 1.5 feet long, v shaped cross section, and greenish yellow in color",8/11/21,Isaac,,
10,"""96-100""",Celastrus orbiculatus,Oriental bittersweet,"""6-25""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Cirsium discolor,field thistle,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Erechtites hieraciifolius,American burnweed,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Heliopsis helianthoides,smooth oxeye,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Hieracium longipilum,hairy hawkweed,"""6-25""",NA,NA,NA,NA,3,,,,8/11/21,Isaac,,
10,"""96-100""",Monarda fistulosa,wild bergamot,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Populus tremuloides,quaking aspen,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Rhus glabra,smooth sumac,"""<1""",NA,NA,Y,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Rudbeckia hirta,blackeyed Susan,"""6-25""",Y,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Solidago canadensis,Canada goldenrod,"""26-50""",NA,NA,NA,NA,1,,,,8/11/21,Isaac,,
10,"""96-100""",Solidago gigantea,giant goldenrod,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Symphyotrichum cordifolium,heart-leaved aster,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Symphyotrichum lateriflorum,calico aster,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Tradescantia ohiensis,bluejacket,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Vicia villosa,winter vetch,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
10,"""96-100""",Viola sp.,voilet sp.,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
11,"""96-100""",Ageratina altissima,white snakeroot,"""6-25""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Andropogon gerardi,big bluestem,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Baptisia alba,white wild indigo,"""6-25""",NA,Y,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Circaea canadensis,broadleaf enchanter's nightshade,"""6-25""",NA,Y,NA,NA,4,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Cuscuta gronovii,scaldweed,"""1-5""",Y,NA,NA,NA,2,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Euphorbia esula,leafy spurge,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Hypericum perforatum,common St. Johnswort,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Monarda fistulosa,wild bergamot,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Oxalis dillenii,slender yellow woodsorrel,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Phryma leptostachya,American lopseed,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Rhus glabra,smooth sumac,"""6-25""",NA,NA,Y,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Silphium integrifolium,wholeleaf rosinweed,"""6-25""",NA,NA,NA,NA,5,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Solidago canadensis,Canada goldenrod,"""51-75""",NA,NA,NA,NA,1,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Solidago gigantea,giant goldenrod,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Tradescantia ohiensis,bluejacket,"""1-5""",NA,Y,NA,NA,3,,,,8/11/21,Mary-Claire,,
11,"""96-100""",Viola sp.,voilet sp.,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
12,"""96-100""",Baptisia alba,white wild indigo,"""1-5""",NA,Y,NA,NA,NA,,,,8/11/21,Isaac,,
12,"""96-100""",Calystegia sepium,hedge false bindweed,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
12,"""96-100""",Phalaris arundinacea,reed canarygrass,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Isaac,,
12,"""96-100""",Silphium integrifolium,wholeleaf rosinweed,"""6-25""",Y,NA,NA,NA,2,,,,8/11/21,Isaac,,
12,"""96-100""",Solidago canadensis,Canada goldenrod,""">95""",NA,NA,NA,NA,1,,,,8/11/21,Isaac,,
13,"""96-100""",Ageratina altissima,white snakeroot,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Andropogon gerardi,big bluestem,"""6-25""",NA,NA,NA,NA,3,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Circaea canadensis,broadleaf enchanter's nightshade,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Cirsium discolor,field thistle,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Euphorbia corollata,flowering spurge,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Monarda fistulosa,wild bergamot,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Oxalis dillenii,slender yellow woodsorrel,"""<1""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
13,"""96-100""",Phalaris arundinacea,reed canarygrass,"""1-5""",NA,NA,NA,NA,NA,,,,8/11/21,Mary-Claire,,
